Genes	description
Kti12	KTI12 homolog, chromatin associated
Stxbp1	syntaxin binding protein 1
Gm11576	NA
Gm25534	NA
Olfr912	NA
XIST_intron	NA
Gm22321	predicted gene, 22321
Gm23033	predicted gene, 23033
Stil	Scl/Tal1 interrupting locus
Cxcl3	C-X-C motif chemokine ligand 3
Mir467b	microRNA 467b
Epb4.1l3	NA
4930546C10Rik	RIKEN cDNA 4930546C10 gene
Jag1	jagged 1
Mir499	microRNA 499
Gm5725	NA
RP23-279M5.3	NA
4930595D18Rik	RIKEN cDNA 4930595D18 gene
Olfr473	NA
Gm6542	proteasome (prosome, macropain) subunit, alpha type 4 pseudogene
Pmpca	peptidase (mitochondrial processing) alpha
Olfr2	NA
Scn1b	sodium channel, voltage-gated, type I, beta
Gm22862	NA
mmu-mir-7211	NA
1700017B05Rik	RIKEN cDNA 1700017B05 gene
BC048671	cDNA sequence BC048671
Plk1s1	NA
Krt25	keratin 25
Prmt5	protein arginine N-methyltransferase 5
Gm13054	NA
Gm14278	N-myc downstream regulated gene 3 pseudogene
Rrp15	ribosomal RNA processing 15 homolog
Gdnf	glial cell line derived neurotrophic factor
Gm9945	predicted gene 9945
Gm16194	predicted gene 16194
Zmynd15	zinc finger, MYND-type containing 15
Aldh3b2	aldehyde dehydrogenase 3 family, member B2
Mapt	microtubule-associated protein tau
Ccdc28b	coiled coil domain containing 28B
Gm24628	NA
Smc5	structural maintenance of chromosomes 5
Gm15196	predicted gene 15196
Scarna8	small Cajal body-specific RNA 8
Tas2r118	taste receptor, type 2, member 118
Gm17055	NA
Lrch4	leucine-rich repeats and calponin homology (CH) domain containing 4
Cideb	cell death-inducing DNA fragmentation factor, alpha subunit-like effector B
Gm22704	predicted gene, 22704
Actr10	ARP10 actin-related protein 10
Pced1a	PC-esterase domain containing 1A
Reep5	receptor accessory protein 5
Gm26754	NA
Try5	trypsin 5
Slc25a45	solute carrier family 25, member 45
Gm3987	NA
Ssh3	slingshot protein phosphatase 3
D3Bwg0562e	NA
Fam57b	NA
Krt75	keratin 75
Gm21302	predicted gene, 21302
Flrt3	fibronectin leucine rich transmembrane protein 3
1700055N04Rik	NA
Urb1	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)
Gm25600	predicted gene, 25600
Gm24952	predicted gene, 24952
Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2
Gm25582	predicted gene, 25582
A130050O07Rik	RIKEN cDNA A130050O07 gene
Gm23734	predicted gene, 23734
2010013B24Rik	RIKEN cDNA 2010013B24 gene
Gm25414	predicted gene, 25414
Sec1	secretory blood group 1
mmu-mir-6481	NA
Gm24927	predicted gene, 24927
Gm15414	NA
Olfr1378	NA
1700052N19Rik	NA
Tfcp2	transcription factor CP2
Gm15314	zinc finger, MYM-type 5 pseudogene
Gm23514	predicted gene, 23514
Nkiras1	NFKB inhibitor interacting Ras-like protein 1
Pdhx	pyruvate dehydrogenase complex, component X
Dtd2	D-tyrosyl-tRNA deacylase 2
Igsf5	immunoglobulin superfamily, member 5
Rabepk	Rab9 effector protein with kelch motifs
Trim16	tripartite motif-containing 16
Rttn	rotatin
Gm23040	predicted gene, 23040
Olfr833-ps1	NA
Gm10837	predicted gene 10837
Nckap1	NCK-associated protein 1
Gm12351	60S ribosomal protein L37 pseudogene
Gm13667	predicted gene 13667
Avpr2	arginine vasopressin receptor 2
Gm14850	NA
Gm22259	predicted gene, 22259
Gm17109	NA
Gm5072	NA
Gdi2	GDP dissociation inhibitor 2
Gm26171	NA
4930523C07Rik	RIKEN cDNA 4930523C07 gene
Gm20429	NA
Defb41	defensin beta 41
Cks1b	CDC28 protein kinase 1b
Gm6910	NA
Krtap1-4	keratin associated protein 1-4
Gm24993	NA
Churc1	churchill domain containing 1
Gtpbp4	GTP binding protein 4
BC052040	NA
Fam159b	NA
Ighv11-1	immunoglobulin heavy variable 11-1
Gm26702	NA
Gm7869	zinc finger, MYM-type 5 pseudogene
Mir7b	microRNA 7b
Gm572	predicted gene 572
Gm10064	predicted gene 10064
Thyn1	thymocyte nuclear protein 1
Tgfbrap1	transforming growth factor, beta receptor associated protein 1
Ugt2b38	UDP glucuronosyltransferase 2 family, polypeptide B38
Gm14683	NA
Gm22246	predicted gene, 22246
Gm6620	predicted gene 6620
Ier3ip1	immediate early response 3 interacting protein 1
Terf1	telomeric repeat binding factor 1
BC106179	cDNA sequence BC106179
Gm17071	NA
Ighv8-9	immunoglobulin heavy variable V8-9
Igkv2-116	immunoglobulin kappa variable 2-116
Gm7571	predicted gene 7571
C730034F03Rik	RIKEN cDNA C730034F03 gene
Lrr1	leucine rich repeat protein 1
Rpl15-ps3	ribosomal protein L15, pseudogene 3
Taok2	TAO kinase 2
Gm13873	NA
Gm20632	NA
Adam10	a disintegrin and metallopeptidase domain 10
Lmbrd1	LMBR1 domain containing 1
Hdac3	histone deacetylase 3
Kif13b	kinesin family member 13B
Fam219b	family with sequence similarity 219, member B
Tmem225	transmembrane protein 225
Gm5602	predicted gene 5602
Gm18396	vomeronasal 2, receptor 10 pseudogene
Hgf	hepatocyte growth factor
Cep192	centrosomal protein 192
Rpl36-ps7	ribosomal protein L36, pseudogene 7
Apoc2	apolipoprotein C2
F11r	F11 receptor
Mipep	mitochondrial intermediate peptidase
Krtap4-2	keratin associated protein 4-2
Tmem174	transmembrane protein 174
Vmn2r113	vomeronasal 2, receptor 113
D530049N12Rik	NA
Gm10125	NA
Gm17186	NA
Pkm	pyruvate kinase, muscle
Vmn1r70	vomeronasal 1 receptor 70
Vbp1	von Hippel-Lindau binding protein 1
Prpf40b	pre-mRNA processing factor 40B
4921509C19Rik	RIKEN cDNA 4921509C19 gene
Rpl31-ps1	ribosomal protein L31, pseudogene 1
Gm21845	predicted gene, 21845
Parp9	poly (ADP-ribose) polymerase family, member 9
Mir466b-5	microRNA 466b-5
Peg3	paternally expressed 3
Tmem25	transmembrane protein 25
Dsg3	desmoglein 3
Ociad1	OCIA domain containing 1
Vmn2r121	vomeronasal 2, receptor 121
Gm13848	predicted gene 13848
Stat5a	signal transducer and activator of transcription 5A
Narfl	NA
Diap3	NA
Gm12002	predicted gene 12002
Tsc22d2	TSC22 domain family, member 2
Hspb11	NA
Gm16024	NA
Gm7887	PEST proteolytic signal containing nuclear protein pseudogene
Gm12021	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1 pseudogene
Naa25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit
4921518K17Rik	RIKEN cDNA 4921518K17 gene
Anxa10	annexin A10
Gm12601	NA
Elf4	E74 like ETS transcription factor 4
Drg1	developmentally regulated GTP binding protein 1
Acvr2a	activin receptor IIA
Sdccag8	serologically defined colon cancer antigen 8
Lrit3	leucine-rich repeat, immunoglobulin-like and transmembrane domains 3
Olfr406	NA
Nfya	nuclear transcription factor-Y alpha
Olfr71	NA
Rpl31	ribosomal protein L31
Usp10	ubiquitin specific peptidase 10
Frrs1l	ferric-chelate reductase 1 like
Dok5	docking protein 5
Vstm2a	V-set and transmembrane domain containing 2A
Ddhd1	DDHD domain containing 1
Fnbp4	formin binding protein 4
Gm14555	NA
Trav13d-2	T cell receptor alpha variable 13D-2
Zar1l	zygote arrest 1-like
Gm17121	predicted gene 17121
Cyp2j6	cytochrome P450, family 2, subfamily j, polypeptide 6
Zbtb26	zinc finger and BTB domain containing 26
Arid4a	AT-rich interaction domain 4A
Gm14980	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 pseudogene
Srp54b	signal recognition particle 54B
Olfr601	NA
Gm24815	NA
Gm12802	predicted gene 12802
Mesp2	mesoderm posterior 2
Gm23408	NA
Olfr268-ps1	NA
Gm14740	NA
Lrrc46	leucine rich repeat containing 46
Gm15877	ribosomal protein L5 pseudogene
Gm15270	predicted gene 15270
Gm12885	NA
Gm10696	NA
Hn1l	NA
Irf3	interferon regulatory factor 3
Ifna4	interferon alpha 4
Gm17449	predicted gene, 17449
Hmgb1-ps6	high mobility group box 1, pseudogene 6
Gm26511	predicted gene, 26511
Gvin1	GTPase, very large interferon inducible 1
Mkln1os	muskelin 1, intracellular mediator containing kelch motifs, opposite strand
3-Mar	NA
Dnaja4	DnaJ heat shock protein family (Hsp40) member A4
Gm8503	protein phosphatase 1 regulatory subunit 14B pseudogene
Smad3	SMAD family member 3
Gm10825	predicted gene 10825
Usp54	ubiquitin specific peptidase 54
Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B
D830044D21Rik	RIKEN cDNA D830044D21 gene
Jph3	junctophilin 3
Gm15765	tubulin, beta 6 pseudogene
Ctsm	cathepsin M
Gm23657	NA
Cmtm7	CKLF-like MARVEL transmembrane domain containing 7
Gm23651	NA
Gm8046	predicted gene 8046
Grk5	G protein-coupled receptor kinase 5
Gm6743	nuclear receptor corepressor 1 pseudogene
1700054O13Rik	NA
Gm17337	NA
Mapkapk3	mitogen-activated protein kinase-activated protein kinase 3
C130060C02Rik	RIKEN cDNA C130060C02 gene
Zbtb37	zinc finger and BTB domain containing 37
Teddm1	NA
Palm	paralemmin
Gm3671	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm22658	predicted gene, 22658
Rpusd1	RNA pseudouridylate synthase domain containing 1
Ppp4r1l-ps	protein phosphatase 4, regulatory subunit 1-like, pseudogene
Cul4a	cullin 4A
Gm23720	NA
Gpr50	G-protein-coupled receptor 50
Gm9936	predicted gene 9936
Gm24678	predicted gene, 24678
Sox8	SRY (sex determining region Y)-box 8
Gm23426	NA
Tdrd5	tudor domain containing 5
Gm25572	predicted gene, 25572
Gm26366	predicted gene, 26366
Mafk	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)
Gm12876	predicted gene 12876
Mrps17	mitochondrial ribosomal protein S17
Zfp536	zinc finger protein 536
Gm25160	predicted gene, 25160
2310045N01Rik	NA
Fbxw17	F-box and WD-40 domain protein 17
Gm12903	NA
Tas2r113	taste receptor, type 2, member 113
Vwa3a	von Willebrand factor A domain containing 3A
Tmem232	transmembrane protein 232
Extl3	exostosin-like glycosyltransferase 3
Gm20500	NA
Zfp419	zinc finger protein 419
Gm24018	predicted gene, 24018
Vps13b	vacuolar protein sorting 13B
Scarna9	small Cajal body-specific RNA 9
Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein
Gypa	glycophorin A
Pdilt	protein disulfide isomerase-like, testis expressed
Fam193b	family with sequence similarity 193, member B
Gm26717	predicted gene, 26717
Capsl	calcyphosine-like
E430018J23Rik	NA
Dmd	dystrophin, muscular dystrophy
Wfdc2	WAP four-disulfide core domain 2
Grm2	glutamate receptor, metabotropic 2
Mre11a	MRE11A homolog A, double strand break repair nuclease
Prl7a1	prolactin family 7, subfamily a, member 1
1810046K07Rik	NA
Lemd3	LEM domain containing 3
Med23	mediator complex subunit 23
Gm11487	NA
Pcsk4	proprotein convertase subtilisin/kexin type 4
1500035N22Rik	RIKEN cDNA 1500035N22 gene
Mtrr	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
Gm14790	NA
Krtap3-2	keratin associated protein 3-2
Gm16365	NA
Nono	non-POU-domain-containing, octamer binding protein
Gm23424	NA
Ighv1-36	immunoglobulin heavy variable 1-36
Gm24026	NA
Gm25540	NA
Gm26247	predicted gene, 26247
Gm20431	NA
Immp2l	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)
Gm25806	predicted gene, 25806
Ndufs5	NADH:ubiquinone oxidoreductase core subunit S5
Gm16044	pentatricopeptide repeat domain 3 pseudogene
Gm14312	NA
Haus1	HAUS augmin-like complex, subunit 1
Gm22798	predicted gene, 22798
Mapkap1	mitogen-activated protein kinase associated protein 1
Gm23490	NA
Ccdc60	coiled-coil domain containing 60
Mvp	major vault protein
Klrc3	killer cell lectin-like receptor subfamily C, member 3
Gstm7	glutathione S-transferase, mu 7
Gm22829	predicted gene, 22829
Olfr1462	NA
Dennd1a	DENN domain containing 1A
Gm15166	NA
Gm12538	predicted gene 12538
Gm26797	predicted gene, 26797
Gm24300	NA
Gpr17	G protein-coupled receptor 17
Gm14492	NA
Nr1i2	nuclear receptor subfamily 1, group I, member 2
Gm26043	NA
Tspan12	tetraspanin 12
Olfr1027-ps1	NA
Gm13445	predicted gene 13445
Mkrn2	makorin, ring finger protein, 2
Pkhd1l1	polycystic kidney and hepatic disease 1-like 1
Gm9320	ribosomal protein S24 pseudogene
Fat1	FAT atypical cadherin 1
Spice1	spindle and centriole associated protein 1
Gm7104	REX1, RNA exonuclease 1 homolog pseudogene
Gm25723	predicted gene, 25723
Gm25709	predicted gene, 25709
Trav9d-4	T cell receptor alpha variable 9D-4
Gm12642	SET translocation pseudogene
Arpp19	cAMP-regulated phosphoprotein 19
Socs3	suppressor of cytokine signaling 3
Adamts14	ADAM metallopeptidase with thrombospondin type 1 motif 14
Gm26504	predicted gene, 26504
Kifc1	kinesin family member C1
Etv6	ets variant 6
Gm13285	predicted gene 13285
Rptn	repetin
Olfr1087	NA
Nit1	nitrilase 1
Rpl31-ps12	ribosomal protein L31, pseudogene 1 2
Il13ra1	interleukin 13 receptor, alpha 1
Rpl7a-ps13	ribosomal protein L7A, pseudogene 13
1700021N21Rik	RIKEN cDNA 1700021N21 gene
Gm15168	NA
Gm2966	predicted gene 2966
Gm3411	predicted gene 3411
Mir546	microRNA 546
Olfr1129	NA
Gm26059	predicted gene, 26059
Rbp4	retinol binding protein 4, plasma
Olfr1427	NA
Zfhx3	zinc finger homeobox 3
Tgfbi	transforming growth factor, beta induced
Ddi2	DNA-damage inducible protein 2
Xxylt1	xyloside xylosyltransferase 1
Exosc2	exosome component 2
Tbc1d22b	TBC1 domain family, member 22B
Flrt2	fibronectin leucine rich transmembrane protein 2
Gm15440	NA
Rab11fip5	RAB11 family interacting protein 5 (class I)
Palmd	palmdelphin
Atp2c1	ATPase, Ca++-sequestering
Rpl36a-ps3	ribosomal protein L36A, pseudogene 3
Prickle2	prickle planar cell polarity protein 2
Gm24483	NA
Zdhhc1	zinc finger, DHHC domain containing 1
Gm16333	predicted gene 16333
Gm4868	predicted gene 4868
Ttc37	NA
Hist3h2bb-ps	NA
Srpx	sushi-repeat-containing protein
Tstd2	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2
Ccnh	cyclin H
Ston1	stonin 1
Muc20	mucin 20
Olfr905	NA
Gm7489	predicted gene 7489
Gm17053	predicted gene 17053
Gm24568	predicted gene, 24568
Daam2	dishevelled associated activator of morphogenesis 2
Gm3531	NA
Rps8-ps2	ribosomal protein S8, pseudogene 2
Gm15079	NA
Gm25373	predicted gene, 25373
Cts7	cathepsin 7
Rps10-ps2	ribosomal protein S10, pseudogene 2
Taar5	trace amine-associated receptor 5
Rbbp8	retinoblastoma binding protein 8, endonuclease
Gm22949	NA
Gm25996	NA
Fhdc1	FH2 domain containing 1
Gm12596	predicted gene 12596
Fhl5	four and a half LIM domains 5
Ap1g1	adaptor protein complex AP-1, gamma 1 subunit
Havcr1	hepatitis A virus cellular receptor 1
Gm12520	NA
Gm21988	NA
Skap2	src family associated phosphoprotein 2
n-R5s124	nuclear encoded rRNA 5S 124
Elane	elastase, neutrophil expressed
Kansl3	KAT8 regulatory NSL complex subunit 3
Gm11363	predicted gene 11363
Lrrc71	leucine rich repeat containing 71
Tmem259	transmembrane protein 259
Gm7099	predicted gene 7099
Trappc13	trafficking protein particle complex 13
Ercc6l2	excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2
Mir883b	microRNA 883b
Srbd1	S1 RNA binding domain 1
Clec3a	C-type lectin domain family 3, member a
Lmo2	LIM domain only 2
Gm24488	NA
Sri	sorcin
Stk16	serine/threonine kinase 16
D430041D05Rik	RIKEN cDNA D430041D05 gene
Pde6c	phosphodiesterase 6C, cGMP specific, cone, alpha prime
9530026F06Rik	RIKEN cDNA 9530026F06 gene
Gm22488	predicted gene, 22488
Olfr1152	NA
Gm20539	NA
Gm26614	predicted gene, 26614
Raver1	ribonucleoprotein, PTB-binding 1
Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)
C430014B12Rik	RIKEN cDNA C430014B12 gene
Olfr688	NA
Ednrb	endothelin receptor type B
Gm11418	predicted gene 11418
B630019K06Rik	F-box and leucine-rich repeat protein 17 pseudogene
5830417I10Rik	gon-4-like pseudogene
Pgpep1	pyroglutamyl-peptidase I
Miox	myo-inositol oxygenase
Fam227a	family with sequence similarity 227, member A
Olfr893	NA
Gm8864	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm12290	predicted gene 12290
Litaf	LPS-induced TN factor
Rpl35a-ps2	ribosomal protein L35A, pseudogene 2
Atp10b	ATPase, class V, type 10B
Gm15171	predicted gene 15171
Gm20609	predicted gene 20609
Serpina1a	serine (or cysteine) peptidase inhibitor, clade A, member 1A
Gm26098	NA
Sstr1	somatostatin receptor 1
Trav5d-3	T cell receptor alpha variable 5D-3
BC016548	cDNA sequence BC016548
Gm8609	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm24586	NA
Gm4772	ring finger protein pseudogene
Gm17061	NA
Gm23297	predicted gene, 23297
Olfr983	NA
Zgpat	zinc finger, CCCH-type with G patch domain
Olfr1306	NA
Hexb	hexosaminidase B
9530072K05Rik	NA
Gm15187	predicted gene 15187
Gm15448	NA
Gm13186	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2 pseudogene
Gm12795	ribosomal protein L9 pseudogene
Gng5	G protein subunit gamma 5
Slc1a3	solute carrier family 1 (glial high affinity glutamate transporter), member 3
Gm25240	NA
Gm6257	DnaJ (Hsp40) homolog, subfamily C, member 17 pseudogene
Mfhas1	malignant fibrous histiocytoma amplified sequence 1
Mir22hg	Mir22 host gene (non-protein coding)
Tmem129	transmembrane protein 129
4833412C05Rik	RIKEN cDNA 4833412C05 gene
Grifin	galectin-related inter-fiber protein
Olfr1260	NA
Uqcc2	ubiquinol-cytochrome c reductase complex assembly factor 2
Hspa13	heat shock protein 70 family, member 13
Hist1h2ae	NA
Spata18	spermatogenesis associated 18
Tomm40	translocase of outer mitochondrial membrane 40
Rpl14-ps1	ribosomal protein L14, pseudogene 1
Gm26409	predicted gene, 26409
A230009B12Rik	RIKEN cDNA A230009B12 gene
Cybrd1	cytochrome b reductase 1
Olfr260-ps1	NA
Gm3764	predicted gene 3764
Gm5070	ribosomal protein S2 pseudogene
1700095B22Rik	NA
Gm26592	predicted gene, 26592
Pappa	pregnancy-associated plasma protein A
E130102H24Rik	RIKEN cDNA E130102H24 gene
Olfr762-ps1	NA
Trp63	transformation related protein 63
Hspe1	heat shock protein 1 (chaperonin 10)
Olfr235	NA
Urah	urate (5-hydroxyiso-) hydrolase
Brdt	bromodomain, testis-specific
Tonsl	tonsoku-like, DNA repair protein
Kcnq5	potassium voltage-gated channel, subfamily Q, member 5
Gm13546	predicted gene 13546
Pde12	phosphodiesterase 12
Hnrnpk	heterogeneous nuclear ribonucleoprotein K
Gm5844	heat shock protein 90, alpha (cytosolic), class A member 1 pseudogene
Gm12867	predicted gene 12867
Mfsd6l	major facilitator superfamily domain containing 6-like
Cenpo	centromere protein O
Xpo4	exportin 4
Gm14297	NA
Gm9754	predicted gene 9754
Gm15370	NA
Calml3	calmodulin-like 3
Gm24982	predicted gene, 24982
Gm13203	predicted gene 13203
BC028528	cDNA sequence BC028528
Lrch2	leucine-rich repeats and calponin homology (CH) domain containing 2
Gprc6a	G protein-coupled receptor, family C, group 6, member A
Gm5936	NA
Olfr602-ps1	NA
Fam114a1	family with sequence similarity 114, member A1
Gm12690	predicted gene 12690
Gm5141	predicted gene 5141
Gm20663	NA
Fahd1	fumarylacetoacetate hydrolase domain containing 1
Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)
Gm22951	predicted gene, 22951
Gm11866	NA
Gm12216	predicted gene 12216
Gm25798	predicted gene, 25798
Ubxn4	UBX domain protein 4
Ptgs2	prostaglandin-endoperoxide synthase 2
Tdrd3	tudor domain containing 3
2310002F09Rik	RIKEN cDNA 2310002F09 gene
Arnt	aryl hydrocarbon receptor nuclear translocator
Gm21754	predicted gene, 21754
Gm14632	predicted gene 14632
Snord35b	small nucleolar RNA, C/D box 35B
Gm12719	NA
Gps1	G protein pathway suppressor 1
n-R5s33	nuclear encoded rRNA 5S 33
1810019N24Rik	RIKEN cDNA 1810019N24 gene
Cd81	CD81 antigen
Exoc3	exocyst complex component 3
Vmn1r123	vomeronasal 1 receptor 123
Nap1l5	nucleosome assembly protein 1-like 5
Pcna-ps2	proliferating cell nuclear antigen pseudogene 2
Tmem132b	transmembrane protein 132B
Gm11292	predicted gene 11292
Gm23300	predicted gene, 23300
Gm14483	NA
Stk30	NA
Rpl37a	ribosomal protein L37a
Zfp82	zinc finger protein 82
Zbtb6	zinc finger and BTB domain containing 6
Tlr8	toll-like receptor 8
Gm8902	ubiquitin specific peptidase 12 pseudogene
Lrrc6	NA
Ctdsp2	CTD small phosphatase 2
Hist1h2an	NA
Asrgl1	asparaginase like 1
Ighd4-1	immunoglobulin heavy diversity 4-1
Ccdc62	coiled-coil domain containing 62
Gm14769	predicted gene 14769
Ckap2l	cytoskeleton associated protein 2-like
Lrrc52	leucine rich repeat containing 52
Hist1h4h	NA
Exph5	exophilin 5
Gm23265	predicted gene, 23265
Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
Gm15285	electron transfer flavoprotein subunit alpha, mitochondrial pseudogene
Gm24224	predicted gene, 24224
Vmn1r50	vomeronasal 1 receptor 50
Gpn2	GPN-loop GTPase 2
Ptbp3	polypyrimidine tract binding protein 3
mmu-mir-7115	NA
Gm10684	predicted gene 10684
Trpv4	transient receptor potential cation channel, subfamily V, member 4
Nfkbil1	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor like 1
Gm22929	predicted gene, 22929
Glp2r	glucagon-like peptide 2 receptor
Gm25617	predicted gene, 25617
Gm13809	lactate dehydrogenase A pseudogene
Ier5l	immediate early response 5-like
Emx2os	Emx2 opposite strand/antisense transcript, non-protein coding
Rfx6	regulatory factor X, 6
Cxcl13	C-X-C motif chemokine ligand 13
Gm12150	NA
Pcdh15	protocadherin 15
Mir30a	microRNA 30a
2210414B05Rik	RIKEN cDNA 2210414B05 gene
Gm5496	NA
Mir710	microRNA 710
Vmn2r30	vomeronasal 2, receptor 30
Gabarapl1	GABA type A receptor associated protein like 1
Kank4	KN motif and ankyrin repeat domains 4
Dcaf7	DDB1 and CUL4 associated factor 7
Flrt1	fibronectin leucine rich transmembrane protein 1
Gm26901	predicted gene, 26901
Tvp23a	trans-golgi network vesicle protein 23A
Dusp6	dual specificity phosphatase 6
Gm12088	NA
AC132444.3	NA
Gm7507	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Qdpr	quinoid dihydropteridine reductase
Atp13a1	ATPase type 13A1
2410076I21Rik	NA
Nbeal1	neurobeachin like 1
Atm	ataxia telangiectasia mutated
Slc35b3	solute carrier family 35, member B3
Cul2	cullin 2
Gm23633	NA
Gm25564	predicted gene, 25564
Gm21968	NA
Gm23527	predicted gene, 23527
Fam135b	family with sequence similarity 135, member B
Dnm3	dynamin 3
Gm22466	NA
Gm24838	predicted gene, 24838
Olfr1122	NA
Gm16331	NA
Gm13346	NA
Gm3191	ubiquinol-cytochrome c reductase hinge protein pseudogene
Rab15	RAB15, member RAS oncogene family
Rfc1	replication factor C (activator 1) 1
Gm3687	hematological and neurological expressed 1 protein pseudogene
Gm18336	NA
Xkr8	X-linked Kx blood group related 8
Gm12513	predicted gene 12513
Gm5940	heterogeneous nuclear ribonucleoprotein A3 pseudogene
2310001H17Rik	RIKEN cDNA 2310001H17 gene
Htr1b	5-hydroxytryptamine (serotonin) receptor 1B
Skint11	selection and upkeep of intraepithelial T cells 11
Thrb	thyroid hormone receptor beta
Gm8057	NA
Vmn1r84	vomeronasal 1 receptor 84
Aacs	acetoacetyl-CoA synthetase
Gm17415	predicted gene, 17415
Trabd	TraB domain containing
Nop16	NOP16 nucleolar protein
Vmn1r40	vomeronasal 1 receptor 40
Gm6816	NA
Gm12756	NA
Dnaaf1	dynein, axonemal assembly factor 1
Gm23762	NA
Ky	kyphoscoliosis peptidase
Gdap2	ganglioside-induced differentiation-associated-protein 2
Tdpoz1	TD and POZ domain containing 1
Lmo4	LIM domain only 4
4933400A11Rik	NA
Hspa5	heat shock protein 5
Zfp275	zinc finger protein 275
Mir5123	microRNA 5123
Afap1l2	actin filament associated protein 1-like 2
Gzme	granzyme E
Tctn1	tectonic family member 1
Myo3a	myosin IIIA
Sub1	SUB1 homolog, transcriptional regulator
Tmx4	thioredoxin-related transmembrane protein 4
Fgf18	fibroblast growth factor 18
Lrrtm1	leucine rich repeat transmembrane neuronal 1
Syt15	synaptotagmin XV
Gm16838	predicted gene, 16838
Zfp27	zinc finger protein 27
Masp2	MBL associated serine protease 2
Gsta4	glutathione S-transferase, alpha 4
Zfp687	zinc finger protein 687
1600020E01Rik	RIKEN cDNA 1600020E01 gene
Scube1	signal peptide, CUB domain, EGF-like 1
Gm14175	ribosomal protein S27 pseudogene
Msl3	MSL complex subunit 3
Sephs1	selenophosphate synthetase 1
Mir877	microRNA 877
Gm15741	TRAF3 interacting protein 2 pseudogene
Pitpna	phosphatidylinositol transfer protein, alpha
Speer3	spermatogenesis associated glutamate (E)-rich protein 3
Iqcg	IQ motif containing G
Vmn1r20	vomeronasal 1 receptor 20
Gm1078	NA
Bud31	BUD31 homolog
Gm12061	predicted gene 12061
Muc5ac	mucin 5, subtypes A and C, tracheobronchial/gastric
Gm26255	predicted gene, 26255
Gm23613	predicted gene, 23613
Anks6	ankyrin repeat and sterile alpha motif domain containing 6
Arl11	ADP-ribosylation factor-like 11
Gm12091	ribosomal protein S2 pseudogene
Gm12092	predicted gene 12092
Maged2	MAGE family member D2
Gm19031	dyskeratosis congenita 1, dyskerin homolog pseudogene
Cyp2c68	cytochrome P450, family 2, subfamily c, polypeptide 68
Gm21732	NA
Gm17094	predicted gene 17094
9930012K11Rik	RIKEN cDNA 9930012K11 gene
Gdf6	growth differentiation factor 6
Ldlrad1	low density lipoprotein receptor class A domain containing 1
Gm23678	predicted gene, 23678
Uhmk1	U2AF homology motif (UHM) kinase 1
Abhd11	abhydrolase domain containing 11
4930555G01Rik	RIKEN cDNA 4930555G01 gene
Ina	internexin neuronal intermediate filament protein, alpha
Gm26502	predicted gene, 26502
Gm4518	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Dnmt3l-ps1	DNA methyltransferase 3-like, pseudogene 1
Farp1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
Hamp	hepcidin antimicrobial peptide
Gm23764	NA
Klk1b8	kallikrein 1-related peptidase b8
Olfr106-ps	NA
Gm15533	predicted gene 15533
Gm19200	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 2 pseudogene
Gm6969	cytochrome c oxidase subunit VIIa polypeptide 2-like pseudogene
Gm23679	NA
Dpp7	dipeptidylpeptidase 7
WT1-AS_8	NA
Gm22456	predicted gene, 22456
Gm13527	glyceraldehyde-3-phosphate dehydrogenase pseudogene
1700001J04Rik	RIKEN cDNA 1700001J04 gene
Zbtb48	zinc finger and BTB domain containing 48
Ppm1n	protein phosphatase, Mg2+/Mn2+ dependent, 1N (putative)
Megf6	multiple EGF-like-domains 6
Sptlc2	serine palmitoyltransferase, long chain base subunit 2
Trav6-1	T cell receptor alpha variable 6-1
Fubp3	far upstream element (FUSE) binding protein 3
Amd-ps3	S-adenosylmethionine decarboxylase, pseudogene 3
Gm15156	NA
Gm355	NA
Dtx3l	deltex 3-like, E3 ubiquitin ligase
Gm14559	NA
Trpm7	transient receptor potential cation channel, subfamily M, member 7
Olfr1310	NA
2810002D19Rik	RIKEN cDNA 2810002D19 gene
Gm25905	NA
